ticker,date,open,high,low,close,volume,dividends
HGLG11.SA,2011-03-02 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,2342,0.0
HGLG11.SA,2011-03-03 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-04 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-09 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-10 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-11 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-14 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-15 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-16 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-17 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-18 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-21 00:00:00-03:00,102.52228546142578,102.52228546142578,102.52228546142578,102.52228546142578,0,0.0
HGLG11.SA,2011-03-22 00:00:00-03:00,102.52326965332031,102.52326965332031,102.52326965332031,102.52326965332031,1018,0.0
HGLG11.SA,2011-03-23 00:00:00-03:00,102.52326965332031,102.52326965332031,102.52326965332031,102.52326965332031,0,0.0
HGLG11.SA,2011-03-24 00:00:00-03:00,102.52326965332031,102.52326965332031,102.52326965332031,102.52326965332031,0,0.0
HGLG11.SA,2011-03-25 00:00:00-03:00,102.52326965332031,102.52326965332031,102.52326965332031,102.52326965332031,0,0.0
HGLG11.SA,2011-03-28 00:00:00-03:00,102.52326965332031,102.52425384521484,102.52326965332031,102.52425384521484,2158,0.0
HGLG11.SA,2011-03-29 00:00:00-03:00,102.52425384521484,102.52425384521484,102.52425384521484,102.52425384521484,0,0.0
HGLG11.SA,2011-03-30 00:00:00-03:00,102.52425384521484,102.52425384521484,102.52425384521484,102.52425384521484,0,0.0
HGLG11.SA,2011-03-31 00:00:00-03:00,102.52425384521484,102.52425384521484,102.52425384521484,102.52425384521484,0,0.0
