ticker,date,open,high,low,close,volume
HGLG11.SA,2011-03-31 00:00:00-03:00,102.52228546142578,102.52425384521484,102.52228546142578,102.52425384521484,5518
HGLG11.SA,2011-04-30 00:00:00-03:00,102.52326965332031,102.52326965332031,102.52326965332031,102.52326965332031,16400
HGLG11.SA,2011-05-31 00:00:00-03:00,101.7376480102539,102.42506408691406,101.7376480102539,102.42506408691406,11307
HGLG11.SA,2011-06-30 00:00:00-03:00,102.62146759033203,106.05855560302734,102.13046264648438,104.38911437988281,9474
HGLG11.SA,2011-07-31 00:00:00-03:00,104.38911437988281,107.04058074951172,104.38911437988281,107.04058074951172,7104
HGLG11.SA,2011-08-31 00:00:00-03:00,107.04058074951172,115.87879180908203,107.04058074951172,115.87879180908203,7112
HGLG11.SA,2011-09-30 00:00:00-03:00,115.87879180908203,115.87879180908203,110.47864532470703,110.47864532470703,2105
HGLG11.SA,2011-10-31 00:00:00-02:00,110.57586669921875,110.57586669921875,106.05855560302734,106.05855560302734,4844
HGLG11.SA,2011-11-30 00:00:00-02:00,114.89578247070312,114.89578247070312,106.05855560302734,109.00462341308594,10266
HGLG11.SA,2011-12-31 00:00:00-02:00,108.02259826660156,114.89578247070312,108.02259826660156,114.89578247070312,4832
HGLG11.SA,2012-01-31 00:00:00-02:00,114.89578247070312,117.84283447265625,111.95069885253906,116.8608169555664,10482
HGLG11.SA,2012-02-29 00:00:00-03:00,116.8608169555664,120.8871078491211,114.40575408935547,120.78890991210938,22058
HGLG11.SA,2012-03-31 00:00:00-03:00,120.78890991210938,126.6810531616211,115.87879180908203,122.7529525756836,23076
HGLG11.SA,2012-04-30 00:00:00-03:00,122.7529525756836,125.69902801513672,121.27992248535156,125.69804382324219,9401
HGLG11.SA,2012-05-31 00:00:00-03:00,125.69804382324219,127.66307830810547,121.27992248535156,123.73497772216797,19890
HGLG11.SA,2012-06-30 00:00:00-03:00,123.44135284423828,128.15408325195312,123.44135284423828,127.66307830810547,9685
HGLG11.SA,2012-07-31 00:00:00-03:00,127.66307830810547,132.5731964111328,127.66307830810547,130.11813354492188,13992
HGLG11.SA,2012-08-31 00:00:00-03:00,130.11813354492188,130.11813354492188,125.69902801513672,127.56487274169922,25131
HGLG11.SA,2012-09-30 00:00:00-03:00,126.6810531616211,127.66307830810547,121.96733856201172,125.89543151855469,28079
HGLG11.SA,2012-10-31 00:00:00-02:00,123.73497772216797,127.66307830810547,121.77093505859375,123.93138122558594,11093
HGLG11.SA,2012-11-30 00:00:00-02:00,123.73497772216797,127.56487274169922,117.84283447265625,125.4044189453125,38524
HGLG11.SA,2012-12-31 00:00:00-02:00,125.4044189453125,126.6810531616211,121.77093505859375,125.87579345703125,26284
HGLG11.SA,2013-01-31 00:00:00-02:00,127.46666717529297,128.6450958251953,125.69902801513672,126.6515884399414,26160
HGLG11.SA,2013-02-28 00:00:00-03:00,125.69902801513672,127.17206573486328,123.30485534667969,122.9198989868164,37058
HGLG11.SA,2013-03-31 00:00:00-03:00,123.53857421875,127.07386016845703,123.25379180908203,126.25878143310547,36434
HGLG11.SA,2013-04-30 00:00:00-03:00,126.6810531616211,129.6271209716797,123.25379180908203,129.52891540527344,25285
HGLG11.SA,2013-05-31 00:00:00-03:00,131.1541748046875,131.1541748046875,124.22599029541016,126.19102478027344,45570
HGLG11.SA,2013-06-30 00:00:00-03:00,125.79821014404297,127.66307830810547,109.98664855957031,117.74463653564453,86556
HGLG11.SA,2013-07-31 00:00:00-03:00,117.74365234375,118.33384704589844,110.48748016357422,113.08493041992188,128275
HGLG11.SA,2013-08-31 00:00:00-03:00,113.62013244628906,117.73481750488281,109.98664855957031,110.96867370605469,95985
HGLG11.SA,2013-09-30 00:00:00-03:00,111.45968627929688,112.9327163696289,106.05855560302734,110.62987518310547,103887
HGLG11.SA,2013-10-31 00:00:00-02:00,112.9327163696289,116.3599853515625,110.97457122802734,115.87879180908203,49854
HGLG11.SA,2013-11-30 00:00:00-02:00,115.87879180908203,115.87879180908203,105.6657485961914,105.69520568847656,61057
HGLG11.SA,2013-12-31 00:00:00-02:00,107.04058074951172,109.78926086425781,100.4678955078125,105.20419311523438,88143
HGLG11.SA,2014-01-31 00:00:00-02:00,108.0235824584961,111.74446868896484,100.16641235351562,101.17789459228516,101170
HGLG11.SA,2014-02-28 00:00:00-03:00,102.03225708007812,109.39448547363281,94.27525329589844,105.7845687866211,182847
HGLG11.SA,2014-03-31 00:00:00-03:00,107.04058074951172,113.42176818847656,106.05953979492188,109.34833526611328,95883
